feature_id,tweet_id_str,tweet_text,tweet_created_at,tweet_user_location,tweet_user_timezone,tweet_coordinates_latitude,tweet_coordinates_longitude,tweet_placeid,char_position,text,geoNameId,toponym,country_code,longitude,latitude,surrogate_geojson,uncertain_semantics,vague,overlapping_ambiguous,non_overlapping_ambiguous,not_in_geonames,is_specific,is_corrupt,text_corrupt,qid
140,490663642481053696,"RT @nytimes: The rising violence by Rikers Island correction officers, especially on mentally ill inmates http://t.co/7z3v3mKKDd http://t.c…",Sun Jul 20 01:05:03 +0000 2014,?zmir,Baghdad,,,,36.0,Rikers Island,5133874,Rikers Island,US,-73.88097,40.79066,,True,,,,True,True,False,False,Q120119
142,520139907172282369,All pregnant women in #Southend are eligible for the free flu vaccination to protect themselves and their babies #SpreadTheWordNotFlu,Thu Oct 09 09:13:12 +0000 2014,"Southend-on-Sea, Essex",,,,,23.0,Southend,2637433,Southend-on-Sea,GB,0.71433,51.53782,"{""features"":[{""geometry"":{""coordinates"":[0.71433,51.53782]},""properties"":{""geoNameId"":2637433,""toponym"":""Southend-on-Sea"",""countryCode"":""GB"",""positions"":[23]}},{""geometry"":{""coordinates"":[0.7,51.53333]},""properties"":{""geoNameId"":3333197,""toponym"":""Southend-on-Sea"",""countryCode"":""GB"",""positions"":[23]}}]}",,,True,,,True,False,False,Q203995
163,496702436476608512,"South Africa: SA earthquake big, but not uncommon: The Orkney earthquake with tremors felt as far away as Bots... http://t.co/hAlVCd5HR5",Tue Aug 05 17:01:03 +0000 2014,West Central Africa,West Central Africa,,,,55.0,Orkney,967476,Orkney,ZA,26.67272,-26.98023,,,,,,,True,False,False,Q1788096
165,537637822983712768,London UK: Flood the Embassy – Justice for Michael Brown – Darren Wilson is GUILTY  http://t.co/AbNXfw5FxB via @fergusonoctober,Wed Nov 26 16:03:40 +0000 2014,"Augusta, Ga",Eastern Time (US & Canada),,,,0.0,London,2643743,London,GB,-0.12574,51.50853,,,,,,,True,False,False,Q84
183,508556204507803648,"Earthquake Shakes Iceland Volcano, Still No Ash: An earthquake struck the region around Iceland's Bardarbunga ... http://t.co/oS6KgiS8O6",Sun Sep 07 10:03:42 +0000 2014,,,,,,98.0,Bardarbunga,2632922,Bardarbunga,IS,-17.52793,64.63502,,,,,,,True,False,False,Q1018862
192,512150788173352960,Magnitude 7.1 Earthquake Strikes Off Guam: A magnitude 7.1 earthquake struck 25 miles northwest of Guam in the... http://t.co/oyEaYJ02Cg,Wed Sep 17 08:07:17 +0000 2014,"lagos,nigeria",,,,,37.0,Guam,4043542,Guam Island,GU,144.75311,13.43103,"{""features"":[{""geometry"":{""coordinates"":[144.81834,13.47861]},""properties"":{""geoNameId"":4043988,""toponym"":""Guam"",""countryCode"":""GU"",""positions"":[37]}},{""geometry"":{""coordinates"":[144.75311,13.43103]},""properties"":{""geoNameId"":4043542,""toponym"":""Guam Island"",""countryCode"":""GU"",""positions"":[37]}}]}",,,True,,,True,False,False,Q16635
201,492459269556822016,RT @stormchaser4850: Update: NWS: The deadly EF-1 #tornado that hit a Cherrystone #VA campground (cont) http://t.co/aHAeqDY65U,Fri Jul 25 00:00:13 +0000 2014,,Eastern Time (US & Canada),,,,70.0,Cherrystone,4752171,Cherrystone,US,-76.0016,37.30625,,,,,,,True,False,False,Q5092544
203,555198415676915712,Las Vegas Review - Rebels ready for late night in Boise - Derrick Marks is the main obstacle standing between UNLV... http://t.co/JgymTt8BxA,Wed Jan 14 03:03:12 +0000 2015,,,,,,0.0,Las Vegas,5506956,Las Vegas,US,-115.13722,36.17497,,,,,,,True,False,False,Q23768
219,491432559159414786,RT @ezralevant: Watch the riot videos. Listen to the victims of this violence. And then help me hire Calgary's best lawyer to sue the offen…,Tue Jul 22 04:00:27 +0000 2014,Ottawa Ontario Canada,,,,,101.0,Calgary,5913490,Calgary,CA,-114.08529,51.05011,,True,,,,,True,False,False,Q36312
225,539299568161021952,RT @BohnJower: #ISurvived the Flagstaff Earthquake of 2014,Mon Dec 01 06:06:51 +0000 2014,,,,,,30.0,Flagstaff,5294810,Flagstaff,US,-111.65127,35.19807,,,,,,,True,False,False,Q79842
229,496777871537745920,RT @Sunburyflooding: Spelthorne's Sunbury Flood Volunteers are looking forward the Dongola race this Saturday @SunburyRegatta http://t.co/j…,Tue Aug 05 22:00:48 +0000 2014,Sunbury Upon Thames.,London,,,,34.0,Sunbury,2636534,Sunbury-on-Thames,GB,-0.41817,51.40424,,,,,,,True,False,False,Q2194010
244,559593873207353345,RT @johnspatricc: ? http://t.co/E1R9XxQzq9 The Firm #TheFirm Mansfield school trustees protest medical waste firm 151 http://t.co/rVp64daMn6,Mon Jan 26 06:09:10 +0000 2015,Ft. Lauderdale Fl,Pacific Time (US & Canada),,,,61.0,Mansfield,4709013,Mansfield,US,-97.14168,32.56319,,,,,,,True,False,False,Q974040
295,486435000376901632,"RT @akwasisarpong: An update on the health status of the US man on admission for ""fever"" at Nyaho Clinic will be helpful. #Ghana #ebola wat…",Tue Jul 08 09:01:56 +0000 2014,"Ghana,Kumasi",Casablanca,,,,92.0,Nyaho Clinic,2306104,Accra,GH,-0.1969,5.55602,,,,,,True,True,False,False,Q3761
308,499465432617611266,SEVERE WX ALERT: ...THE NATIONAL WEATHER SERVICE IN RALEIGH HAS ISSUED A FLOOD WARNING FOR THE FOLL... http://t.co/49fpjSQd54 WX WARNING,Wed Aug 13 08:00:13 +0000 2014,"Atlanta,GA",,,,,52.0,RALEIGH,4487042,Raleigh,US,-78.63861,35.7721,,,,,,,True,False,False,Q41087
314,489168267119185920,"The Luzon earthquake occurred on Monday, July 16, 1990, at 4:26 PM local time in the Philippines http://t.co/JtbLs6dnYB",Tue Jul 15 22:02:57 +0000 2014,( Location: Pictland ),,,,,4.0,Luzon,1704846,Luzon,PH,121.0,16.0,,,,,,,True,False,False,Q125384
333,556587917557391360,RT @BMcCarthy32: this is not a joke: I literally just farted during the earthquake in Dallas. What a magical feeling that was. #bucketlist,Sat Jan 17 23:04:35 +0000 2015,USA!!!!!!,,,,,86.0,Dallas,4684888,Dallas,US,-96.80667,32.78306,,,,,,,True,False,False,Q16557
347,487477510628589568,RT @501Awani: The Fire and Rescue Dept confirms a fire broke out at the One Utama (New Wing) food court,Fri Jul 11 06:04:30 +0000 2014,,Alaska,,,,72.0,One Utama,1735158,Petaling Jaya,MY,101.60671,3.10726,,,,,,True,True,False,False,Q864965
352,501051010627153920,"RT @shadihamid: Rebels in Aleppo ""say they are on the verge of a defeat that could effectively end their fight to unseat Assad"": http://t.c…",Sun Aug 17 17:00:44 +0000 2014,Helsinki,Cairo,,,,26.0,Aleppo,170063,Aleppo,SY,37.16117,36.20124,,,,,,,True,False,False,Q41183
376,542726763118620673,Richmond Police Chief Has No Faith In the Law so Joins Protest Over Police Bias http://t.co/Qf817OMPqv,Wed Dec 10 17:05:18 +0000 2014,Louisiana,Central Time (US & Canada),,,,0.0,Richmond,5387428,Richmond,US,-122.34775,37.93576,,,,,,,True,False,False,Q495377
392,489530621979803648,RT @Crof: Sierra Leone: Five #Ebola suspects on the run in Bo http://t.co/e7hzGz4Ntr,Wed Jul 16 22:02:50 +0000 2014,,,,,,59.0,Bo,2410048,Bo,SL,-11.73833,7.96472,,,,,,,True,False,False,Q844878
398,499405039497388032,"RT @NeilLokare: Gas masks, machine guns, armored cars, no fly zones, tear gas, riot shields, intimidation of the press. Not Baghdad, Missou…",Wed Aug 13 04:00:14 +0000 2014,Hawthorne,,,,,124.0,Baghdad,98182,Baghdad,IQ,44.40088,33.34058,,,,,,,True,False,False,Q1530
403,557766230522994688,"The Riot Team is here at St. Clair prison right now. Appx. 8 people have been stabbed this week, two are in the... http://t.co/MKIybUsxeo",Wed Jan 21 05:06:46 +0000 2015,Global,Eastern Time (US & Canada),,,,25.0,St. Clair prison,4091542,Springville,US,-86.47165,33.7751,,,,,,True,True,False,False,Q80023
412,518219975258308609,RT @WTOP: There is no case of Ebola at Shady Grove Hospital. The patient in question is being treated for malaria. http://t.co/RbV5vEyAgP,Sat Oct 04 02:04:04 +0000 2014,Around 495,Eastern Time (US & Canada),,,,39.0,Shady Grove Hospital,4369266,Shady Grove Adventist Hospital,US,-77.19872,39.09843,,,,,,,True,False,False,Q3145253
415,560890723596120066,"Measles Outbreak Has Arizona Tracking 1,000 Who Might Have Been Exposed: As Phoenix fills up for the Super Bow... http://t.co/hpyuwj9htQ",Thu Jan 29 20:02:24 +0000 2015,Cancun,Mexico City,,,,76.0,Phoenix,5308655,Phoenix,US,-112.07404,33.44838,,,,,,,True,False,False,Q16556
424,547497506758606849,RT @DublinPolice: 33EB shut down at Avery Rd for auto accident. Police and fire on scene. use caution in the area.,Tue Dec 23 21:02:32 +0000 2014,"Dublin, OH",Eastern Time (US & Canada),,,,36.0,Avery Rd,5152333,Dublin,US,-83.11408,40.09923,,,,,,True,True,False,False,Q988937
449,521844143166074880,The Slymar #Earthquake hit  Los Angeles in 1971? Watch this video on Tube For L.A. http://t.co/XLe7k9q5ec,Tue Oct 14 02:05:13 +0000 2014,Los Angeles,Pacific Time (US & Canada),,,,28.0,Los Angeles,5368361,Los Angeles,US,-118.24368,34.05223,,,,,,,True,False,False,Q65
458,557659901796036609,Balt Fire Officers wish a speedy recovery to the MD State Trooper injured on I-70. @FOP3 @mdfop34 @BCFDL734 @BaltimorePolice @MDSP,Tue Jan 20 22:04:16 +0000 2015,,Eastern Time (US & Canada),,,,0.0,Balt,4347778,Baltimore,US,-76.61219,39.29038,,True,,,,,True,False,False,Q5092
488,507122244884385792,RT @Foto_Arquitect: 'Tornado Tower in the centre the Burj Doha' por stewartl2010 http://t.co/iqQRBSOPhA,Wed Sep 03 11:05:39 +0000 2014,,Eastern Time (US & Canada),,,,21.0,Tornado Tower,290030,Doha,QA,51.52245,25.27932,,,,,,True,True,False,False,Q3861
515,555034019403169792,RT @MPSHarrow: Reportedly the Photo of the Tornado that struck today in #Harrow from @sweetballs101: http://t.co/QT82jftYfV,Tue Jan 13 16:09:56 +0000 2015,,,,,,73.0,Harrow,3333151,Harrow,GB,-0.33333,51.56667,,,,,,,True,False,False,Q210476
518,547181768411852800,"The Roma Centre  Christmas Party is on Tonight at 7:30 with Food  Music with the Gypsy Rebels , Romani Rota, and... http://t.co/YzKopa3SbH",Tue Dec 23 00:07:54 +0000 2014,Toronto,Eastern Time (US & Canada),,,,4.0,Roma Centre,6167865,Toronto,CA,-79.4163,43.70011,,,,,,True,True,False,False,Q172
524,500386845646008320,All Columbia residents and MU students: Some peers of mine are thinking about holding a peaceful protest in the at Mu. Contact @Stinaa____,Fri Aug 15 21:01:35 +0000 2014,FloMo // CoMo,Central Time (US & Canada),,,,4.0,Columbia,4381982,Columbia,US,-92.33407,38.95171,,,,,,,True,False,False,Q59670
527,510654126863429632,"@FoxNews Enterovirus D68 makes it way into NE,since the virus has no known cure,it's almost similar to Ebola virus",Sat Sep 13 05:00:06 +0000 2014,Mende maryland,,,,,43.0,NE,4945858,Northeast Grave,US,-70.8656,42.3701,,,True,,,True,True,False,False,Q49664235
531,513676161939812353,Ebola: Children with symptoms of malaria to be shut out of schools in Abuja:    The Education Secretary in the... http://t.co/d7alxLMqml,Sun Sep 21 13:08:35 +0000 2014,"Lagos, Nigeria.",Pacific Time (US & Canada),,,,70.0,Abuja,2352778,Abuja,NG,7.49508,9.05785,,,,,,,True,False,False,Q3787
539,559138704309366785,RT @JamesVanFleet: #Tornado #Damage pics from the EF-0 Tornado in Myakka State Forest. This trailer was tossed 40 yards. #WTSP http://t.co/…,Sun Jan 25 00:00:30 +0000 2015,Tampa Florida ,Eastern Time (US & Canada),,,,66.0,Myakka State Forest,4165518,Myakka River State Park,US,-82.31398,27.24199,,,,,,,True,False,False,Q2815107
558,512391733683179521,when mr.leonard told us a tornado and huge rain storm drive the british away and stopped them from burning down D.C http://t.co/J9UCVP1UN0,Thu Sep 18 00:04:43 +0000 2014,,,,,,112.0,D.C,4140963,"Washington, D.C.",US,-77.03637,38.89511,,,,,,,True,False,False,Q61
563,555063091600580610,'Like a scene from the Wizard of Oz': homes and cars damaged as tornado hits Harrow http://t.co/m81ilpohI0,Tue Jan 13 18:05:28 +0000 2015,,,,,,77.0,Harrow,2647425,Harrow,GB,-0.33208,51.57835,,,,,,,True,False,False,Q54961
583,511213718395691008,"RT @DugoutLegends: Canoeing at Crosley Field during the 1937 flood.
@Reds #Reds http://t.co/yV2oXmRtNK",Sun Sep 14 18:03:43 +0000 2014,"Cincinnati, OH",,,,,31.0,Crosley Field,4509650,Crosley Field (historical),US,-84.53522,39.117,,,,,,,True,False,False,Q3003747
600,537275205681692672,"RT @Riddwane: I've just got an information, that police in Jos have opened fire on the protesting UNIJOS students @omojuwa @Ayourb",Tue Nov 25 16:02:45 +0000 2014,Jos,,,,,59.0,Jos,2335953,Jos,NG,8.89212,9.92849,,,,,,,True,False,False,Q321079
602,509793473046650880,"RT @OfficeDepotFndn: Learn how Office Depot Foundation &amp; @feedthechildren made a difference after the 2013 Moore, OK, tornado.  http://t.co…",Wed Sep 10 20:00:10 +0000 2014,,Eastern Time (US & Canada),,,,107.0,Moore,4542975,Moore,US,-97.4867,35.33951,,,,,,,True,False,False,Q917458
613,533620871689031680,Can't wait to hit Kingsport TN so I can help defeat the Rebels. #xwing,Sat Nov 15 14:01:44 +0000 2014,South Carolina,Central Time (US & Canada),35.434516,-82.460526,00e5ab8c39184d09,18.0,Kingsport,4634662,Kingsport,US,-82.56182,36.54843,,,,,,,True,False,False,Q241814
616,510157102292402176,RT @PaulineMM: Manchester Dogs' Home Justgiving page if you can spare anything to help after the fire. They will need so much help https://…,Thu Sep 11 20:05:06 +0000 2014,Midlands,Amsterdam,,,,15.0,Manchester Dogs' Home,2643123,Manchester,GB,-2.23743,53.48095,"{""features"":[{""geometry"":{""coordinates"":[-2.25,53.41667]},""properties"":{""geoNameId"":3333169,""toponym"":""Manchester"",""countryCode"":""GB"",""positions"":[15]}},{""geometry"":{""coordinates"":[-2.23743,53.48095]},""properties"":{""geoNameId"":2643123,""toponym"":""Manchester"",""countryCode"":""GB"",""positions"":[15]}}]}",True,,True,,,True,False,False,Q18125
629,509507069636902912,Heading into the heart of the Ebola outbreak - ABC Online http://t.co/09ViTNsbEw #Newcastle,Wed Sep 10 01:02:06 +0000 2014,,Sydney,,,,82.0,Newcastle,7839758,Newcastle,AU,151.70843,-32.87628,,,,,,,True,False,False,Q820325
634,490738105687633920,"RT @cnnbrk: Hundreds flee town of Shaja'ia in Gaza as Israeli forces directed heavy fire on the town, CNN's Ben Wedeman reports. @bencnn",Sun Jul 20 06:00:56 +0000 2014,,Alaska,,,,34.0,Shaja'ia,281133,Gaza,PS,34.46667,31.5,,,True,,,True,True,False,False,Q47492
689,489123718405185536,RT @mikemccaffrey: San Francisco's Tuesday siren is like a call to prayer for appeasing the earthquake gods.,Tue Jul 15 19:05:56 +0000 2014,US / West Coast / SF,Pacific Time (US & Canada),,,,19.0,San Francisco,5391959,San Francisco,US,-122.41942,37.77493,,,,,,,True,False,False,Q62
692,517917366974304256,RT @weatherchannel: 10:22pm CT: New #tornado warnings straddle the #AR and #TN state line north of #Memphis. Quick spin ups possible http:/…,Fri Oct 03 06:01:37 +0000 2014,"Denver, Colorado",Mountain Time (US & Canada),,,,100.0,Memphis,4641239,Memphis,US,-90.04898,35.14953,,,,,,,True,False,False,Q16563
699,498892065561133057,RT @PRODIGYMOBBDEEP: #Mobbsters Come see Okayplayer presents: Prodigy X The Soul Rebels on Friday August 15th at Brooklyn Bowl. #DUNNation …,Mon Aug 11 18:01:52 +0000 2014,,Eastern Time (US & Canada),,,,113.0,Brooklyn Bowl,5126309,McCarren Park,US,-73.95208,40.72121,,,True,,,True,True,False,False,Q6800173
715,520440610793086976,"China: a new rockfall video from Guiyang, Guizhou and images of landslides from the Yunnan earthquake in August http://t.co/bP34FnjRDU",Fri Oct 10 05:08:05 +0000 2014,,,,,,33.0,Guiyang,1809461,Guiyang,CN,106.71667,26.58333,,,,,,,True,False,False,Q192271
723,532655700485619712,"4.8 Earthquake, 33 miles ssw of Wichita at 340 pm. We felt it lightly here at the office. Got lots of calls. http://t.co/EYBwoTuD4T #kswx",Wed Nov 12 22:06:29 +0000 2014,"Dodge City, KS",Central Time (US & Canada),,,,32.0,Wichita,4281730,Wichita,US,-97.33754,37.69224,,,,,,,True,False,False,Q49266
739,561314505712746498,Hatchet-wielding man who police said tried to set planes on fire was arrested at the Sierra Vista Municipal Airport: http://t.co/bylySomvoz,Sat Jan 31 00:06:21 +0000 2015,"Tucson, AZ",Pacific Time (US & Canada),,,,85.0,Sierra Vista Municipal Airport,7668305,Sierra Vista Municipal Libby Army Air Field,US,-110.344,31.5885,,,,,,True,True,False,False,Q7511619
750,494196234950045698,Sierra Leone's top Ebola doctor dies from virus - FREETOWN (Reuters) - The doctor leading Sierra Leone's fight... http://t.co/a4cwUBatrV,Tue Jul 29 19:02:18 +0000 2014,,,,,,50.0,FREETOWN,2409306,Freetown,SL,-13.22994,8.484,,,,,,,True,False,False,Q3780
755,516060063975227393,"#hollaback Catcalls, sexualized violence targeted at Halifax protest - TheChronicleHerald.ca: The... http://t.co/mBcSV6SxjO #OccupyWomen",Sun Sep 28 03:01:21 +0000 2014,#OccupyTogether,Brussels,,,,53.0,Halifax,6324729,Halifax,CA,-63.57239,44.64533,,,,,,,True,False,False,Q3246744
770,558655602730467329,"Measles outbreak grows to 75 cases.
Coverage of the Disneyland-based measles outbreak continues, with two... http://t.co/8SNfNtIkls",Fri Jan 23 16:00:49 +0000 2015,Around the world,Arizona,,,,52.0,Disneyland,5343229,Disneyland,US,-117.91898,33.81207,,,,,,,True,False,False,Q181185
771,511546211791171584,#BennyCapricon Travelers possibly exposed to measles: Travelers who passed through the Seattle-Tac... http://t.co/oKVYaEXhH7 via @cnnbrk,Mon Sep 15 16:04:55 +0000 2014,,,,,,87.0,Seattle-Tac,5809876,Seattle-Tacoma International Airport,US,-122.30929,47.44899,"{""features"":[{""geometry"":{""coordinates"":[-122.3283,47.60014]},""properties"":{""geoNameId"":6955116,""toponym"":""Seattle-Tacoma-Bellevue"",""countryCode"":""US"",""positions"":[87]}},{""geometry"":{""coordinates"":[-122.30929,47.44899]},""properties"":{""geoNameId"":5809876,""toponym"":""Seattle-Tacoma International Airport"",""countryCode"":""US"",""positions"":[87]}}]}",,,True,,,True,False,False,Q14295
776,558112041966514177,#Team_Wolf1 Hundreds in New Jersey Flee Fire at Apartments: Flames from the blaze at the Avalon at... http://t.co/HVoUvBr9oS #Team_Wolf1,Thu Jan 22 04:00:54 +0000 2015,Dominica Republic,,,,,89.0,Avalon,5097575,Edgewater,US,-73.97569,40.82704,,,True,,,True,True,False,False,Q178035
785,496054068029427713,Literally a tornado at the baseball tournament in Eau Claire,Sun Aug 03 22:04:40 +0000 2014,,,,,,50.0,Eau Claire,5251436,Eau Claire,US,-91.49849,44.81135,,,,,,,True,False,False,Q122563
788,513765158767034368,RT @StormWchAmerica: SEVERE WX ALERT: THE NATIONAL WEATHER SERVICE IN MIDLAND HAS ISSUED A * FLASH FLOOD WARNING FOR... ... http://t.co/ScC…,Sun Sep 21 19:02:13 +0000 2014,"Lake Havasu City, AZ",Arizona,,,,70.0,MIDLAND,5526337,Midland,US,-102.07791,31.99735,,,,,,,True,False,False,Q128321
802,561118362659328002,"RT @gsurya: ""When a great tree falls, the earth shakes"": said Rajiv. Today Robert Vadra fell &amp; #earthquake in North India; #quake in Rohtak…",Fri Jan 30 11:06:57 +0000 2015,delhi,,,,,133.0,Rohtak,1258077,Rohtak,IN,76.66667,28.83333,,,,,,,True,False,False,Q967388
816,537108679020253184,RT @The_First_Stone: Protest in Chicago! Police clashing with protestors on Wabash because of the Missouri verdict!? Your fuckin kidding me…,Tue Nov 25 05:01:02 +0000 2014,,Central Time (US & Canada),,,,32.0,Chicago,4887398,Chicago,US,-87.65005,41.85003,,,,,,,True,False,False,Q1297
825,542530165360705537,"today, we rememeber the victims of the violence in wau,#SouthSudan. one day social and criminal justice will be achieved. May your souls RIP",Wed Dec 10 04:04:05 +0000 2014,"Juba, Nairobi, Denver",,,,,51.0,wau,363885,Wau,SS,27.9953,7.70286,,,,,,,True,False,False,Q276534
840,530873258770718720,RT @Bristol_Culture: Hundreds march through Bristol in a Reclaim the Night protest against sexual violence: http://t.co/KMoZeg5AaM http://t…,Sat Nov 08 00:03:42 +0000 2014,,London,,,,44.0,Bristol,2654675,Bristol,GB,-2.59665,51.45523,,,,,,,True,False,False,Q23154
845,519776891352678400,Marie O'Connell about impact of an earthquake on the NZ Film #archives in Christchurch and recovery #iasa2014 http://t.co/8zvb8Tlpsm,Wed Oct 08 09:10:42 +0000 2014,"ÜT: -26.133299,27.935531",Pretoria,-33.9277,18.4196,8b9ec16fdc0d7e55,74.0,Christchurch,2192362,Christchurch,NZ,172.63333,-43.53333,,,,,,,True,False,False,Q79990
862,512405820748087296,RT @GAFollowers: A 9 y/o Carrollton boy was almost injured while using a Samsung tablet. It caught fire &amp; burned a hole in the floor. http:…,Thu Sep 18 01:00:42 +0000 2014,,Eastern Time (US & Canada),,,,25.0,Carrollton,4186416,Carrollton,US,-85.07661,33.58011,,,,,,,True,False,False,Q1852070
867,490316367229222914,RT @BBassem7: Breaking. #ISIS Islamists rebels just burnt the Assyrian Catholic Church in Mosel #Iraq. Completely lost. http://t.co/U5GjRFY…,Sat Jul 19 02:05:06 +0000 2014,FL,Eastern Time (US & Canada),,,,62.0,Assyrian Catholic Church,99072,Mosul,IQ,43.11889,36.335,,,,,,True,True,False,False,Q83317
880,522598995269394432,RT @NBCLA: The 2014 Great California ShakeOut earthquake drill is happening tomorrow at Biola University in La Mirada http://t.co/yC4gynylg3,Thu Oct 16 04:04:44 +0000 2014,"La Mirada, California",,,,,88.0,Biola University,5328728,Biola University,US,-118.01449,33.90517,,,,,,,True,False,False,Q864450
882,502138389768859648,"RT @LisaGHart: Woman interrupts protest in #Clayton w/sign saying ""My family &amp; friends support Officer Wilson &amp; the police"" @FOX2now http:/…",Wed Aug 20 17:01:36 +0000 2014,Midwest in USA,Hawaii,,,,44.0,Clayton,4381478,Clayton,US,-90.32373,38.64255,,,,,,,True,False,False,Q966922
910,492414906478510080,"Tornado slams Virginia campground; 2 dead: CAPE CHARLES, Va. (AP) — The sky turned black and cellphones pinged... http://t.co/74884hTQp4",Thu Jul 24 21:03:56 +0000 2014,WorldWide,Chennai,,,,43.0,CAPE CHARLES,4750892,Cape Charles,US,-76.01743,37.26792,,,,,,,True,False,False,Q1376790
915,515154903228903425,RT @clockend10: This entire protest #ComeOutKarachi should be transformed into #MakeNewProvinces as its also a need of the time #MQM @ibadr…,Thu Sep 25 15:04:34 +0000 2014,"U,A,E Dubai",Karachi,,,,44.0,Karachi,1174872,Karachi,PK,67.0822,24.9056,,,,,,,True,False,False,Q8660
943,548148080801878016,RT @ktmkomuter: Torrential downpour in the Klang Valley resulted in flash flooding near Bt Tiga stn. Svc is delayed.Waiting flood water to …,Thu Dec 25 16:07:41 +0000 2014,,Kuala Lumpur,,,,88.0,Bt Tiga stn,1739590,Batu Tiga,MY,103.15,4.76667,,,,,,True,True,False,False,Q31764734
949,490557631891660801,#MH17 At 1st rebels claimed they had the black box (flight recorder) &amp; it was being sent to #Moscow Now they say they don't know where it is,Sat Jul 19 18:03:48 +0000 2014,KANSAS,Central Time (US & Canada),,,,93.0,Moscow,524901,Moscow,RU,37.61556,55.75222,,,,,,,True,False,False,Q649
958,540324923088961538,"Pasadena Police Dept welcomes writer Anna Patricia Candiani and her presentation on ""Breaking the Circle of Violence"" http://t.co/csOVB61mfX",Thu Dec 04 02:01:15 +0000 2014,"Pasadena, CA",Arizona,,,,0.0,Pasadena,5381396,Pasadena,US,-118.14452,34.14778,,,,,,,True,False,False,Q485176
976,490285510129377280,"""You could get a crowbar and flood the Lincoln Tunnel."" -Samantha",Sat Jul 19 00:02:29 +0000 2014,NYC,,40.763237,-74.019861,65b4760a2b411e11,39.0,Lincoln Tunnel,5100494,Lincoln Tunnel,US,-74.00986,40.76316,,,,,,,True,False,False,Q125805
